Estacion_canal,Fecha (UTC),Disponibilidad (%),Gaps (conteo),Overlaps (conteo),Offset (cuentas),Picos (conteo)
CHI_HHZ,2022-06-01,100.0,1,2,1436.1,2
CHI_HHZ,2022-06-02,100,0,0,1450.1,0
CHI_HHZ,2022-06-03,100,0,0,1384.0,1
CHI_HHZ,2022-06-04,100,0,0,1398.3,3
CHI_HHZ,2022-06-05,100,0,0,1416.5,1
CHI_HHZ,2022-06-06,100,0,0,1417.1,0
CHI_HHZ,2022-06-07,100,0,1,1373.9,0
CHI_HHZ,2022-06-08,100,0,1,1422.0,5
CHI_HHZ,2022-06-09,100,0,0,1415.6,0
CHI_HHZ,2022-06-10,100,0,0,1448.4,0
CHI_HHZ,2022-06-11,100,0,0,1416.9,2
CHI_HHZ,2022-06-12,100,0,0,1473.7,3
CHI_HHZ,2022-06-13,100,0,3,1400.7,0
CHI_HHZ,2022-06-14,100,0,0,1391.1,0
CHI_HHZ,2022-06-15,99.9,1,0,1546.0,1
CHI_HHZ,2022-06-16,100,0,0,1372.7,1
CHI_HHZ,2022-06-17,100,0,0,1367.4,0
CHI_HHZ,2022-06-18,100,0,0,1434.3,2
CHI_HHZ,2022-06-19,100,0,0,1371.7,2
CHI_HHZ,2022-06-20,100,0,0,1430.9,1
CHI_HHZ,2022-06-21,100,0,0,1377.2,3
CHI_HHZ,2022-06-22,100,0,0,1366.1,1
CHI_HHZ,2022-06-23,100,0,0,1545.4,0
CHI_HHZ,2022-06-24,100,0,2,1455.0,3
CHI_HHZ,2022-06-25,100,0,0,1365.6,0
CHI_HHZ,2022-06-26,100,0,0,1346.4,4
CHI_HHZ,2022-06-27,100,0,0,1382.9,1
CHI_HHZ,2022-06-28,100,0,0,1334.6,1
CHI_HHZ,2022-06-29,100,0,0,1351.5,0
CHI_HHZ,2022-06-30,100,0,0,1367.3,3
CHI_HHZ,2022-07-01,100,0,0,1409.0,2
CHI_HHZ,2022-07-02,100,0,0,1353.5,0
CHI_HHN,2022-06-01,100.0,1,2,220.5,2
CHI_HHN,2022-06-02,100,0,0,305.0,0
CHI_HHN,2022-06-03,100,0,0,287.0,5
CHI_HHN,2022-06-04,100,0,0,258.0,6
CHI_HHN,2022-06-05,100,0,0,242.8,5
CHI_HHN,2022-06-06,100,0,0,154.9,1
CHI_HHN,2022-06-07,100,0,1,37.7,10
CHI_HHN,2022-06-08,100,0,1,259.1,7
CHI_HHN,2022-06-09,100,0,0,255.7,4
CHI_HHN,2022-06-10,100,0,0,254.6,3
CHI_HHN,2022-06-11,100,0,0,228.5,0
CHI_HHN,2022-06-12,100,0,0,18.1,6
CHI_HHN,2022-06-13,100,0,3,-53.8,6
CHI_HHN,2022-06-14,100,0,0,454.1,4
CHI_HHN,2022-06-15,99.9,1,0,178.7,8
CHI_HHN,2022-06-16,100,0,0,223.1,5
CHI_HHN,2022-06-17,100,0,0,212.1,2
CHI_HHN,2022-06-18,100,0,0,203.8,6
CHI_HHN,2022-06-19,100,0,0,-128.6,6
CHI_HHN,2022-06-20,100,0,0,252.4,2
CHI_HHN,2022-06-21,100,0,0,238.4,7
CHI_HHN,2022-06-22,100,0,0,229.9,5
CHI_HHN,2022-06-23,100,0,0,-301.6,1
CHI_HHN,2022-06-24,100,0,2,277.4,2
CHI_HHN,2022-06-25,100,0,0,200.9,1
CHI_HHN,2022-06-26,100,0,0,176.5,6
CHI_HHN,2022-06-27,100,0,0,282.6,5
CHI_HHN,2022-06-28,100,0,0,286.4,8
CHI_HHN,2022-06-29,100,0,0,247.8,2
CHI_HHN,2022-06-30,100,0,0,230.8,4
CHI_HHN,2022-07-01,100,0,0,227.4,6
CHI_HHN,2022-07-02,100,0,0,-82.1,1
CHI_HHE,2022-06-01,100.0,1,2,480.2,3
CHI_HHE,2022-06-02,100,0,0,533.9,3
CHI_HHE,2022-06-03,100,0,0,521.4,2
CHI_HHE,2022-06-04,100,0,0,556.1,3
CHI_HHE,2022-06-05,100,0,0,447.3,5
CHI_HHE,2022-06-06,100,0,0,411.7,7
CHI_HHE,2022-06-07,100,0,1,337.5,3
CHI_HHE,2022-06-08,100,0,1,455.2,5
CHI_HHE,2022-06-09,100,0,0,546.9,4
CHI_HHE,2022-06-10,100,0,0,478.8,2
CHI_HHE,2022-06-11,100,0,0,493.0,10
CHI_HHE,2022-06-12,100,0,0,317.1,8
CHI_HHE,2022-06-13,100,0,3,555.8,1
CHI_HHE,2022-06-14,100,0,0,315.0,5
CHI_HHE,2022-06-15,99.9,1,0,556.3,3
CHI_HHE,2022-06-16,100,0,0,456.3,3
CHI_HHE,2022-06-17,100,0,0,484.7,3
CHI_HHE,2022-06-18,100,0,0,470.7,6
CHI_HHE,2022-06-19,100,0,0,481.3,8
CHI_HHE,2022-06-20,100,0,0,176.9,3
CHI_HHE,2022-06-21,100,0,0,477.8,6
CHI_HHE,2022-06-22,100,0,0,508.0,10
CHI_HHE,2022-06-23,100,0,0,360.9,4
CHI_HHE,2022-06-24,100,0,2,343.8,13
CHI_HHE,2022-06-25,100,0,0,316.7,6
CHI_HHE,2022-06-26,100,0,0,469.1,7
CHI_HHE,2022-06-27,100,0,0,475.2,3
CHI_HHE,2022-06-28,100,0,0,533.6,5
CHI_HHE,2022-06-29,100,0,0,496.9,14
CHI_HHE,2022-06-30,100,0,0,493.6,4
CHI_HHE,2022-07-01,100,0,0,434.3,6
CHI_HHE,2022-07-02,100,0,0,548.4,0
