Estacion_canal,Fecha (UTC),Disponibilidad (%),Gaps (conteo),Overlaps (conteo),Offset (cuentas),Picos (conteo)
LCBC_HHZ,2022-01-15,46.5,2,0,2987.8,0
LCBC_HHZ,2022-01-16,43.3,3,0,2886.3,0
LCBC_HHZ,2022-01-17,47.4,2,0,2928.7,0
LCBC_HHZ,2022-01-18,43.7,2,0,3002.4,0
LCBC_HHZ,2022-01-19,45.7,2,0,2965.1,0
LCBC_HHZ,2022-01-20,43.3,2,0,2917.9,0
LCBC_HHZ,2022-01-21,45.0,2,0,2946.0,0
LCBC_HHZ,2022-01-22,45.6,2,0,2911.2,0
LCBC_HHZ,2022-01-23,44.8,2,0,3016.0,0
LCBC_HHZ,2022-01-24,45.1,2,0,3012.1,0
LCBC_HHZ,2022-01-25,44.8,2,0,3012.5,0
LCBC_HHZ,2022-01-26,44.8,2,0,2987.8,0
LCBC_HHZ,2022-01-27,45.4,2,0,2998.8,0
LCBC_HHZ,2022-01-28,44.6,2,0,3018.2,1
LCBC_HHZ,2022-01-29,46.2,2,0,2975.5,0
LCBC_HHZ,2022-01-30,45.3,2,0,11257.2,2
LCBC_HHZ,2022-01-31,46.4,2,0,151234.3,0
LCBC_HHZ,2022-02-01,45.5,2,0,320323.3,0
LCBC_HHZ,2022-02-02,46.6,2,0,481223.9,0
LCBC_HHZ,2022-02-03,45.8,2,0,641949.4,0
LCBC_HHZ,2022-02-04,44.9,2,0,793695.5,0
LCBC_HHZ,2022-02-05,46.1,2,0,956046.9,0
LCBC_HHZ,2022-02-06,45.3,2,0,1130394.5,0
LCBC_HHZ,2022-02-07,45.5,2,1,1275058.7,0
LCBC_HHZ,2022-02-08,44.0,3,0,640394.5,3
LCBC_HHZ,2022-02-09,100,0,2,3383.6,0
LCBC_HHZ,2022-02-10,100,0,0,3357.9,0
LCBC_HHZ,2022-02-11,100,0,0,3341.1,0
LCBC_HHZ,2022-02-12,100,0,0,3337.3,0
LCBC_HHZ,2022-02-13,100,0,0,3335.3,0
LCBC_HHZ,2022-02-14,100,0,0,3351.0,0
LCBC_HHZ,2022-02-15,100,0,0,3345.1,0
LCBC_HHZ,2022-02-16,100,0,1,3338.2,0
LCBC_HHZ,2022-02-17,100,0,1,3340.8,0
LCBC_HHZ,2022-02-18,100,0,0,3340.0,0
LCBC_HHZ,2022-02-19,100,0,0,3347.2,0
LCBC_HHZ,2022-02-20,100,0,0,3332.3,0
LCBC_HHZ,2022-02-21,100,0,0,3333.5,0
LCBC_HHZ,2022-02-22,100,0,0,3336.0,0
LCBC_HHZ,2022-02-23,100,0,0,3337.5,3
LCBC_HHZ,2022-02-24,100,0,1,3335.9,0
LCBC_HHZ,2022-02-25,100,0,0,3338.1,0
LCBC_HHZ,2022-02-26,100.0,1,0,3355.3,0
LCBC_HHZ,2022-02-27,100,0,0,3361.0,0
LCBC_HHZ,2022-02-28,100,0,0,3392.3,0
LCBC_HHZ,2022-03-01,100,0,0,3412.8,0
